,Compound,TyreLife,FreshTyre,Position,GridPosition,Round,Year
4,MEDIUM,1.0,True,15.0,19.0,Japanese Grand Prix,2019
5,SOFT,4.0,False,4.0,6.0,Japanese Grand Prix,2019
6,SOFT,1.0,True,10.0,14.0,Japanese Grand Prix,2019
7,SOFT,1.0,True,20.0,15.0,Japanese Grand Prix,2019
8,MEDIUM,1.0,True,19.0,16.0,Japanese Grand Prix,2019
9,SOFT,4.0,False,18.0,5.0,Japanese Grand Prix,2019
10,SOFT,4.0,False,11.0,8.0,Japanese Grand Prix,2019
11,SOFT,4.0,False,3.0,4.0,Japanese Grand Prix,2019
12,SOFT,4.0,False,2.0,1.0,Japanese Grand Prix,2019
13,SOFT,4.0,False,5.0,7.0,Japanese Grand Prix,2019
14,MEDIUM,1.0,True,16.0,18.0,Japanese Grand Prix,2019
15,MEDIUM,1.0,True,12.0,13.0,Japanese Grand Prix,2019
16,SOFT,4.0,False,1.0,3.0,Japanese Grand Prix,2019
17,SOFT,4.0,False,13.0,10.0,Japanese Grand Prix,2019
18,MEDIUM,1.0,True,17.0,0.0,Japanese Grand Prix,2019
19,MEDIUM,1.0,True,14.0,11.0,Japanese Grand Prix,2019
0,MEDIUM,4.0,False,1.0,3.0,Mexican Grand Prix,2019
1,MEDIUM,4.0,False,2.0,2.0,Mexican Grand Prix,2019
2,MEDIUM,4.0,False,3.0,6.0,Mexican Grand Prix,2019
3,MEDIUM,4.0,False,4.0,1.0,Mexican Grand Prix,2019
4,MEDIUM,4.0,False,5.0,5.0,Mexican Grand Prix,2019
5,MEDIUM,4.0,False,6.0,4.0,Mexican Grand Prix,2019
6,MEDIUM,1.0,True,7.0,11.0,Mexican Grand Prix,2019
7,HARD,1.0,True,8.0,13.0,Mexican Grand Prix,2019
8,SOFT,4.0,False,9.0,10.0,Mexican Grand Prix,2019
9,MEDIUM,1.0,True,10.0,12.0,Mexican Grand Prix,2019
10,SOFT,4.0,False,11.0,9.0,Mexican Grand Prix,2019
11,MEDIUM,1.0,True,12.0,16.0,Mexican Grand Prix,2019
12,SOFT,4.0,False,13.0,7.0,Mexican Grand Prix,2019
13,MEDIUM,1.0,True,14.0,15.0,Mexican Grand Prix,2019
14,MEDIUM,1.0,True,15.0,17.0,Mexican Grand Prix,2019
15,MEDIUM,1.0,True,16.0,19.0,Mexican Grand Prix,2019
16,MEDIUM,1.0,True,17.0,18.0,Mexican Grand Prix,2019
17,MEDIUM,1.0,True,18.0,20.0,Mexican Grand Prix,2019
18,MEDIUM,1.0,True,19.0,14.0,Mexican Grand Prix,2019
19,SOFT,4.0,False,20.0,8.0,Mexican Grand Prix,2019
0,SOFT,4.0,False,16.0,10.0,United States Grand Prix,2019
1,MEDIUM,1.0,True,10.0,0.0,United States Grand Prix,2019
2,MEDIUM,4.0,False,4.0,4.0,United States Grand Prix,2019
3,MEDIUM,1.0,True,13.0,14.0,United States Grand Prix,2019
4,MEDIUM,1.0,True,18.0,12.0,United States Grand Prix,2019
5,SOFT,4.0,False,5.0,6.0,United States Grand Prix,2019
6,HARD,1.0,True,12.0,13.0,United States Grand Prix,2019
7,HARD,1.0,True,9.0,11.0,United States Grand Prix,2019
8,SOFT,4.0,False,6.0,9.0,United States Grand Prix,2019
9,MEDIUM,4.0,False,3.0,3.0,United States Grand Prix,2019
10,SOFT,4.0,False,7.0,8.0,United States Grand Prix,2019
11,MEDIUM,4.0,False,2.0,5.0,United States Grand Prix,2019
12,MEDIUM,4.0,False,20.0,2.0,United States Grand Prix,2019
13,SOFT,4.0,False,8.0,7.0,United States Grand Prix,2019
14,MEDIUM,1.0,True,17.0,18.0,United States Grand Prix,2019
15,SOFT,1.0,True,11.0,17.0,United States Grand Prix,2019
16,MEDIUM,4.0,False,1.0,1.0,United States Grand Prix,2019
17,MEDIUM,1.0,True,15.0,15.0,United States Grand Prix,2019
18,MEDIUM,1.0,True,19.0,19.0,United States Grand Prix,2019
19,MEDIUM,1.0,True,14.0,16.0,United States Grand Prix,2019
0,MEDIUM,1.0,True,7.0,12.0,Austrian Grand Prix,2020
1,SOFT,4.0,False,6.0,6.0,Austrian Grand Prix,2020
2,SOFT,4.0,False,2.0,7.0,Austrian Grand Prix,2020
3,SOFT,4.0,False,18.0,9.0,Austrian Grand Prix,2020
4,MEDIUM,1.0,True,17.0,16.0,Austrian Grand Prix,2020
5,SOFT,4.0,False,13.0,4.0,Austrian Grand Prix,2020
6,MEDIUM,1.0,True,12.0,13.0,Austrian Grand Prix,2020
7,SOFT,4.0,False,19.0,10.0,Austrian Grand Prix,2020
8,MEDIUM,1.0,True,8.0,14.0,Austrian Grand Prix,2020
9,MEDIUM,6.0,False,20.0,2.0,Austrian Grand Prix,2020
10,SOFT,4.0,False,3.0,3.0,Austrian Grand Prix,2020
11,SOFT,4.0,False,4.0,5.0,Austrian Grand Prix,2020
