,Compound,TyreLife,FreshTyre,Position,GridPosition,Round,Year,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindSpeed
9,MEDIUM,6.0,False,5.0,4.0,British Grand Prix,2019,17.9,67.6,1006.5,False,27.8,1.3
10,SOFT,4.0,False,11.0,8.0,British Grand Prix,2019,17.9,67.6,1006.5,False,27.8,1.3
11,MEDIUM,5.0,False,1.0,2.0,British Grand Prix,2019,17.9,67.6,1006.5,False,27.8,1.3
12,SOFT,4.0,False,16.0,6.0,British Grand Prix,2019,17.9,67.6,1006.5,False,27.8,1.3
13,MEDIUM,1.0,True,6.0,13.0,British Grand Prix,2019,17.9,67.6,1006.5,False,27.8,1.3
14,MEDIUM,1.0,True,14.0,19.0,British Grand Prix,2019,17.9,67.6,1006.5,False,27.8,1.3
15,MEDIUM,1.0,True,8.0,12.0,British Grand Prix,2019,17.9,67.6,1006.5,False,27.8,1.3
16,MEDIUM,6.0,False,2.0,1.0,British Grand Prix,2019,17.9,67.6,1006.5,False,27.8,1.3
17,SOFT,1.0,True,19.0,14.0,British Grand Prix,2019,17.9,67.6,1006.5,False,27.8,1.3
18,MEDIUM,1.0,True,15.0,20.0,British Grand Prix,2019,17.9,67.6,1006.5,False,27.8,1.3
19,MEDIUM,1.0,True,18.0,11.0,British Grand Prix,2019,17.9,67.6,1006.5,False,27.8,1.3
0,WET,1.0,True,14.0,4.0,German Grand Prix,2019,21.0,87.9,991.1,True,26.4,0.8
1,WET,1.0,True,20.0,8.0,German Grand Prix,2019,21.0,87.9,991.1,True,26.4,0.8
2,WET,1.0,True,17.0,10.0,German Grand Prix,2019,21.0,87.9,991.1,True,26.4,0.8
3,WET,1.0,True,4.0,15.0,German Grand Prix,2019,21.0,87.9,991.1,True,26.4,0.8
4,WET,1.0,True,8.0,12.0,German Grand Prix,2019,21.0,87.9,991.1,True,26.4,0.8
5,WET,1.0,True,6.0,16.0,German Grand Prix,2019,21.0,87.9,991.1,True,26.4,0.8
6,WET,1.0,True,3.0,14.0,German Grand Prix,2019,21.0,87.9,991.1,True,26.4,0.8
7,WET,1.0,True,16.0,9.0,German Grand Prix,2019,21.0,87.9,991.1,True,26.4,0.8
8,WET,1.0,True,19.0,13.0,German Grand Prix,2019,21.0,87.9,991.1,True,26.4,0.8
9,WET,1.0,True,1.0,2.0,German Grand Prix,2019,21.0,87.9,991.1,True,26.4,0.8
10,WET,1.0,True,18.0,19.0,German Grand Prix,2019,21.0,87.9,991.1,True,26.4,0.8
11,WET,1.0,True,9.0,1.0,German Grand Prix,2019,21.0,87.9,991.1,True,26.4,0.8
12,WET,1.0,True,2.0,20.0,German Grand Prix,2019,21.0,87.9,991.1,True,26.4,0.8
13,WET,1.0,True,5.0,7.0,German Grand Prix,2019,21.0,87.9,991.1,True,26.4,0.8
14,WET,1.0,True,11.0,17.0,German Grand Prix,2019,21.0,87.9,991.1,True,26.4,0.8
15,WET,1.0,True,12.0,5.0,German Grand Prix,2019,21.0,87.9,991.1,True,26.4,0.8
16,WET,1.0,True,15.0,3.0,German Grand Prix,2019,21.0,87.9,991.1,True,26.4,0.8
17,WET,1.0,True,7.0,6.0,German Grand Prix,2019,21.0,87.9,991.1,True,26.4,0.8
18,WET,1.0,True,10.0,18.0,German Grand Prix,2019,21.0,87.9,991.1,True,26.4,0.8
19,WET,1.0,True,13.0,11.0,German Grand Prix,2019,21.0,87.9,991.1,True,26.4,0.8
0,MEDIUM,4.0,False,1.0,3.0,Hungarian Grand Prix,2019,25.1,35.9,986.8,False,43.0,2.1
1,MEDIUM,4.0,False,2.0,1.0,Hungarian Grand Prix,2019,25.1,35.9,986.8,False,43.0,2.1
